graph_number,k5_minor,k33_minor
156,"{0: [4], 1: [0, 3], 2: [8, 9], 3: [5, 7], 4: [6]}","{0: [2], 1: [9], 2: [0], 3: [6], 4: [3, 5, 7], 5: [8]}"
157,"{0: [7, 8], 1: [0, 9], 2: [4], 3: [2], 4: [5, 6]}","{0: [5], 1: [9], 2: [4], 3: [6, 8], 4: [0, 3], 5: [2, 7]}"
158,"{0: [8], 1: [5], 2: [0, 2, 9], 3: [7], 4: [4, 6]}","{0: [2], 1: [0], 2: [7], 3: [6], 4: [3], 5: [9]}"
159,"{0: [8], 1: [6], 2: [0], 3: [2, 3, 7], 4: [9]}","{0: [2, 7, 8], 1: [5], 2: [9], 3: [1, 6], 4: [4], 5: [3]}"
160,"{0: [5, 9], 1: [4, 6], 2: [0, 7], 3: [3], 4: [1, 8]}","{0: [3, 5], 1: [1], 2: [2], 3: [0, 6], 4: [4, 7, 9], 5: [8]}"
161,"{0: [1, 8], 1: [3, 4], 2: [6], 3: [2], 4: [5, 7, 9]}","{0: [1], 1: [7], 2: [3], 3: [8], 4: [6, 9], 5: [5]}"
162,"{0: [0, 7], 1: [5, 9], 2: [6, 8], 3: [1, 2, 4], 4: [3]}","{0: [0], 1: [9], 2: [8], 3: [6], 4: [7], 5: [3]}"
163,"{0: [6], 1: [3, 5], 2: [7], 3: [4, 9], 4: [0]}","{0: [2], 1: [1], 2: [4], 3: [0, 9], 4: [7], 5: [8]}"
164,"{0: [4, 6], 1: [2, 8], 2: [5], 3: [0, 3], 4: [7, 9]}","{0: [1], 1: [8], 2: [0], 3: [9], 4: [5], 5: [3]}"
165,"{0: [4], 1: [8], 2: [2, 6, 7], 3: [9], 4: [0, 5]}","{0: [4], 1: [5], 2: [6], 3: [0, 2, 9], 4: [1, 8], 5: [7]}"
166,"{0: [1, 4, 8], 1: [6], 2: [9], 3: [2, 3], 4: [5, 7]}","{0: [9], 1: [1], 2: [0], 3: [5], 4: [3], 5: [8]}"
167,"{0: [4], 1: [7], 2: [0, 8], 3: [5], 4: [6, 9]}","{0: [8], 1: [2, 4, 5, 7], 2: [3], 3: [6], 4: [9], 5: [0]}"
168,"{0: [4], 1: [0, 9], 2: [2], 3: [8], 4: [6, 7]}","{0: [0], 1: [5, 6, 7], 2: [4], 3: [8], 4: [9], 5: [3]}"
169,"{0: [7], 1: [1, 4], 2: [3, 8], 3: [5, 6], 4: [9]}","{0: [6, 7], 1: [0, 1, 3], 2: [9], 3: [4], 4: [2, 5], 5: [8]}"
170,"{0: [2, 8], 1: [0], 2: [5], 3: [3, 7], 4: [4, 9]}","{0: [2, 7], 1: [0], 2: [6], 3: [3], 4: [5], 5: [4, 8]}"
171,"{0: [1, 8], 1: [7], 2: [0, 5, 9], 3: [2, 4], 4: [6]}","{0: [4, 9], 1: [8], 2: [7], 3: [2, 5, 6], 4: [0, 3], 5: [1]}"
172,"{0: [0, 3, 5], 1: [1], 2: [6], 3: [7], 4: [2, 4, 9]}","{0: [8], 1: [9], 2: [6], 3: [2], 4: [7], 5: [3]}"
173,"{0: [7], 1: [4], 2: [8], 3: [6], 4: [9]}","{0: [1, 2, 9], 1: [6], 2: [0], 3: [5], 4: [7], 5: [3]}"
174,"{0: [1, 6], 1: [0, 5], 2: [3, 8], 3: [9], 4: [4]}","{0: [7], 1: [8], 2: [4], 3: [9], 4: [3], 5: [0, 1, 5, 6]}"
175,"{0: [6, 7], 1: [2, 9], 2: [0, 3], 3: [1, 5], 4: [4, 8]}","{0: [8], 1: [7], 2: [0], 3: [3], 4: [6], 5: [5]}"
176,"{0: [1], 1: [0, 3, 7, 8], 2: [6], 3: [4], 4: [9]}","{0: [3], 1: [0, 5], 2: [4], 3: [9], 4: [6, 8], 5: [1, 7]}"
177,"{0: [1], 1: [2, 5], 2: [4, 6], 3: [7], 4: [9]}","{0: [2], 1: [9], 2: [8], 3: [6], 4: [7], 5: [5]}"
178,"{0: [3, 7], 1: [5], 2: [4, 8], 3: [6, 9], 4: [1]}","{0: [2], 1: [0, 9], 2: [1, 5, 7], 3: [3], 4: [6], 5: [4]}"
179,"{0: [0, 9], 1: [7], 2: [2, 3], 3: [5], 4: [8]}","{0: [7], 1: [8], 2: [0], 3: [9], 4: [6], 5: [5]}"
180,"{0: [4], 1: [8, 9], 2: [7], 3: [1, 2, 5, 6], 4: [0, 3]}","{0: [2, 9], 1: [4], 2: [5], 3: [6], 4: [7], 5: [8]}"
181,"{0: [1], 1: [2, 5], 2: [9], 3: [6, 8], 4: [4, 7]}","{0: [7], 1: [8], 2: [0], 3: [9], 4: [4], 5: [3]}"
182,"{0: [7, 9], 1: [0, 4], 2: [6], 3: [3, 5], 4: [2, 8]}","{0: [2, 3], 1: [1, 7, 9], 2: [6], 3: [5], 4: [8], 5: [0, 4]}"
183,"{0: [3, 7], 1: [0, 9], 2: [4, 8], 3: [1, 5], 4: [2]}","{0: [2], 1: [7], 2: [0], 3: [9], 4: [3], 5: [4]}"
184,"{0: [5], 1: [6], 2: [8], 3: [7], 4: [9]}","{0: [1], 1: [2], 2: [0], 3: [4], 4: [3], 5: [9]}"
185,"{0: [1, 9], 1: [4, 8], 2: [6], 3: [5], 4: [3, 7]}","{0: [1], 1: [2], 2: [0], 3: [4], 4: [3], 5: [9]}"
186,"{0: [9], 1: [4, 7], 2: [1], 3: [5, 6], 4: [2, 8]}","{0: [9], 1: [0], 2: [5], 3: [3], 4: [4], 5: [8]}"
187,"{0: [5], 1: [9], 2: [8], 3: [6], 4: [7]}","{0: [1], 1: [0], 2: [2], 3: [8, 9], 4: [4], 5: [3]}"
188,"{0: [5], 1: [8], 2: [2], 3: [1, 3, 6], 4: [7, 9]}","{0: [7], 1: [9], 2: [6], 3: [8], 4: [5], 5: [4]}"
189,"{0: [5], 1: [9], 2: [3, 4, 6], 3: [7], 4: [0, 8]}","{0: [5], 1: [1], 2: [7], 3: [8], 4: [4, 6], 5: [9]}"
190,"{0: [8], 1: [9], 2: [0, 3], 3: [4, 6], 4: [2, 5, 7]}","{0: [4], 1: [2, 8, 9], 2: [5], 3: [1], 4: [6], 5: [3, 7]}"
191,"{0: [0, 8], 1: [1, 2], 2: [3, 5], 3: [9], 4: [4]}","{0: [3], 1: [4], 2: [0, 2, 7, 9], 3: [6, 8], 4: [1], 5: [5]}"
192,"{0: [6], 1: [3, 8, 9], 2: [0, 7], 3: [1, 5], 4: [4]}","{0: [4], 1: [7], 2: [1], 3: [6], 4: [8], 5: [5]}"
193,"{0: [3, 6, 9], 1: [0, 7], 2: [4, 8], 3: [1], 4: [5]}","{0: [9], 1: [8], 2: [0, 1, 7], 3: [4], 4: [2], 5: [3]}"
194,"{0: [7], 1: [0, 3, 8], 2: [2], 3: [1], 4: [9]}","{0: [2], 1: [1], 2: [0, 3], 3: [8], 4: [4, 9], 5: [7]}"
195,"{0: [5, 6], 1: [0, 4, 9], 2: [2, 8], 3: [3], 4: [1, 7]}","{0: [3], 1: [4], 2: [7], 3: [8], 4: [0], 5: [2, 9]}"
196,"{0: [7], 1: [3, 9], 2: [0, 4], 3: [6, 8], 4: [2, 5]}","{0: [0], 1: [6], 2: [9], 3: [8], 4: [4, 5, 7], 5: [3]}"
197,"{0: [5, 7], 1: [0, 6], 2: [2, 8], 3: [1], 4: [4, 9]}","{0: [8], 1: [0], 2: [5], 3: [4], 4: [2, 6], 5: [3]}"
198,"{0: [7], 1: [0, 2, 3], 2: [6, 8], 3: [4], 4: [5, 9]}","{0: [4], 1: [3], 2: [1], 3: [6, 9], 4: [2, 5], 5: [7, 8]}"
199,"{0: [8], 1: [5], 2: [3, 9], 3: [1, 6, 7], 4: [4]}","{0: [9], 1: [0, 6, 7], 2: [8], 3: [4], 4: [3], 5: [5]}"
200,"{0: [5], 1: [3], 2: [4, 9], 3: [1], 4: [0, 6, 7]}","{0: [1, 3, 5, 9], 1: [8], 2: [7], 3: [4], 4: [6], 5: [2]}"
201,"{0: [2], 1: [6], 2: [8], 3: [1, 9], 4: [4, 7]}","{0: [0], 1: [7], 2: [9], 3: [3], 4: [4], 5: [5]}"
202,"{0: [7], 1: [2], 2: [4, 6, 9], 3: [8], 4: [0, 3, 5]}","{0: [2, 7], 1: [0], 2: [6, 8], 3: [5], 4: [4], 5: [3]}"
203,"{0: [2], 1: [6, 9], 2: [5], 3: [8], 4: [3, 7]}","{0: [7], 1: [5], 2: [1], 3: [8], 4: [3, 6], 5: [0, 4]}"
204,"{0: [8], 1: [0, 4, 9], 2: [3], 3: [6], 4: [7]}","{0: [2], 1: [1], 2: [0, 4, 6, 7], 3: [3, 8], 4: [5], 5: [9]}"
205,"{0: [4, 9], 1: [0, 1, 3, 6], 2: [5], 3: [7], 4: [8]}","{0: [0, 2, 4, 5], 1: [9], 2: [1, 6], 3: [3], 4: [7], 5: [8]}"
206,"{0: [9], 1: [3], 2: [1, 6, 8], 3: [0, 5], 4: [2, 4]}","{0: [2, 7], 1: [8], 2: [0], 3: [5], 4: [4, 9], 5: [3]}"
207,"{0: [0, 3], 1: [7], 2: [4, 5], 3: [6, 8], 4: [2, 9]}","{0: [1], 1: [8], 2: [5], 3: [6], 4: [4], 5: [2, 7, 9]}"
208,"{0: [9], 1: [0, 3, 4, 5], 2: [1, 7], 3: [8], 4: [6]}","{0: [2, 8], 1: [0], 2: [7], 3: [5], 4: [3], 5: [4, 9]}"
209,"{0: [9], 1: [0, 3], 2: [8], 3: [2, 4, 5], 4: [6]}","{0: [2, 5], 1: [6, 8], 2: [0, 3], 3: [4], 4: [7], 5: [9]}"
210,"{0: [4, 7], 1: [0, 2], 2: [3, 5], 3: [1, 9], 4: [8]}","{0: [3], 1: [0], 2: [4], 3: [8], 4: [9], 5: [2]}"
211,"{0: [9], 1: [4, 6], 2: [2, 7], 3: [5], 4: [3]}","{0: [5], 1: [2], 2: [4, 8], 3: [3], 4: [7], 5: [6, 9]}"
212,"{0: [5, 8], 1: [0, 1, 2, 7], 2: [3, 4], 3: [6], 4: [9]}","{0: [6], 1: [4], 2: [5], 3: [3], 4: [9], 5: [8]}"
213,"{0: [4], 1: [1, 5, 8], 2: [0, 2, 6, 7], 3: [3], 4: [9]}","{0: [3], 1: [7], 2: [0], 3: [9], 4: [2], 5: [8]}"
214,"{0: [6, 8], 1: [0, 7], 2: [9], 3: [1], 4: [2, 5]}","{0: [2], 1: [9], 2: [1, 7, 8], 3: [6], 4: [0], 5: [5]}"
215,"{0: [3], 1: [0, 2, 4, 8], 2: [1, 6], 3: [9], 4: [5, 7]}","{0: [3], 1: [0], 2: [8], 3: [9], 4: [7], 5: [2]}"
216,"{0: [6], 1: [4, 5], 2: [3], 3: [8], 4: [9]}","{0: [5], 1: [0], 2: [6], 3: [8], 4: [7], 5: [2]}"
217,"{0: [3], 1: [7, 9], 2: [6], 3: [4, 5], 4: [0, 1, 2, 8]}","{0: [9], 1: [0], 2: [1], 3: [8], 4: [7], 5: [2]}"
218,"{0: [8], 1: [2, 9], 2: [1, 4], 3: [3, 6, 7], 4: [5]}","{0: [8], 1: [9], 2: [4], 3: [6], 4: [1], 5: [5]}"
219,"{0: [6], 1: [4], 2: [0, 2, 8], 3: [5, 9], 4: [7]}","{0: [1], 1: [4], 2: [0], 3: [7], 4: [9], 5: [8]}"
220,"{0: [6], 1: [5], 2: [8], 3: [4], 4: [7, 9]}","{0: [0], 1: [6], 2: [7], 3: [9], 4: [8], 5: [2]}"
221,"{0: [6], 1: [9], 2: [0, 8], 3: [5], 4: [7]}","{0: [4], 1: [1], 2: [0, 5, 7], 3: [9], 4: [2], 5: [8]}"
222,"{0: [1, 5, 8], 1: [9], 2: [4], 3: [3, 6], 4: [7]}","{0: [1], 1: [7], 2: [0], 3: [9], 4: [2], 5: [8]}"
223,"{0: [2, 5, 6, 7], 1: [9], 2: [8], 3: [3], 4: [1]}","{0: [0, 6], 1: [3, 9], 2: [4, 8], 3: [1], 4: [7], 5: [2, 5]}"
224,"{0: [7], 1: [8], 2: [6], 3: [1, 4, 9], 4: [3, 5]}","{0: [1], 1: [0], 2: [8], 3: [6], 4: [9], 5: [2]}"
225,"{0: [7], 1: [6], 2: [8], 3: [1, 4, 9], 4: [0, 2, 3, 5]}","{0: [7], 1: [1], 2: [0], 3: [9], 4: [6], 5: [2, 4, 5]}"
226,"{0: [4, 9], 1: [1], 2: [7], 3: [8], 4: [3, 6]}","{0: [2], 1: [8], 2: [1, 6], 3: [0], 4: [7], 5: [9]}"
227,"{0: [4], 1: [3, 5], 2: [0, 2], 3: [8], 4: [1, 6, 9]}","{0: [1, 9], 1: [0], 2: [4], 3: [8], 4: [6], 5: [2]}"
228,"{0: [6], 1: [2, 3, 8], 2: [9], 3: [5], 4: [4]}","{0: [3], 1: [9], 2: [0], 3: [6], 4: [8], 5: [2]}"
229,"{0: [5], 1: [6], 2: [1, 2, 3, 8], 3: [4], 4: [7, 9]}","{0: [3], 1: [0, 8], 2: [4, 5, 9], 3: [7], 4: [2], 5: [1, 6]}"
230,"{0: [4], 1: [9], 2: [0, 3, 8], 3: [7], 4: [5, 6]}","{0: [4], 1: [9], 2: [3], 3: [5, 6], 4: [7], 5: [8]}"
231,"{0: [9], 1: [0, 1, 2], 2: [4], 3: [8], 4: [7]}","{0: [1, 9], 1: [5], 2: [0], 3: [8], 4: [6], 5: [2]}"
232,"{0: [0, 2], 1: [5, 7], 2: [1], 3: [8], 4: [6, 9]}","{0: [0], 1: [7], 2: [9], 3: [6], 4: [8], 5: [2]}"
233,"{0: [7], 1: [9], 2: [8], 3: [6], 4: [0, 2, 3, 4]}","{0: [3], 1: [0], 2: [5], 3: [2], 4: [6, 7, 8], 5: [9]}"
234,"{0: [0, 8], 1: [4], 2: [6], 3: [2, 9], 4: [3]}","{0: [1, 7], 1: [0], 2: [4, 5], 3: [2], 4: [6, 9], 5: [8]}"
235,"{0: [1, 2, 3], 1: [4, 9], 2: [7], 3: [8], 4: [5]}","{0: [3], 1: [0], 2: [5], 3: [7], 4: [6, 9], 5: [2]}"
236,"{0: [4], 1: [5], 2: [0, 7], 3: [6], 4: [9]}","{0: [5], 1: [9], 2: [4], 3: [8], 4: [7], 5: [6]}"
237,"{0: [3, 8], 1: [7], 2: [5], 3: [9], 4: [0, 6]}","{0: [9], 1: [0], 2: [3], 3: [6], 4: [7], 5: [2]}"
238,"{0: [4], 1: [8], 2: [1, 3], 3: [5, 6, 7], 4: [9]}","{0: [4], 1: [6], 2: [5], 3: [9], 4: [7, 8], 5: [1, 2, 3]}"
239,"{0: [7], 1: [0, 6], 2: [1, 2, 3], 3: [8], 4: [4, 9]}","{0: [9], 1: [0], 2: [8], 3: [6], 4: [7], 5: [2]}"
240,"{0: [5, 7], 1: [3], 2: [1, 6], 3: [0, 8, 9], 4: [4]}","{0: [4], 1: [0, 6], 2: [5], 3: [8], 4: [7], 5: [2]}"
241,"{0: [0, 6], 1: [9], 2: [2, 7], 3: [1, 3], 4: [5, 8]}","{0: [4], 1: [0], 2: [5], 3: [8], 4: [1, 3, 7], 5: [2, 6, 9]}"
242,"{0: [8], 1: [0, 3, 7], 2: [1, 5], 3: [4, 6], 4: [9]}","{0: [0], 1: [1, 5], 2: [4], 3: [2], 4: [6, 8], 5: [3, 7]}"
243,"{0: [8], 1: [7], 2: [5], 3: [1, 2], 4: [3, 9]}","{0: [2, 5, 9], 1: [4], 2: [0, 8], 3: [6], 4: [1], 5: [3]}"
244,"{0: [3, 7], 1: [1], 2: [5, 6], 3: [4], 4: [2, 8, 9]}","{0: [5], 1: [2, 8, 9], 2: [3, 4], 3: [1], 4: [6], 5: [7]}"
245,"{0: [8], 1: [4], 2: [7], 3: [6, 9], 4: [0, 5]}","{0: [4, 9], 1: [0], 2: [1, 3], 3: [5], 4: [6, 8], 5: [2]}"
246,"{0: [8], 1: [1, 5, 7], 2: [6], 3: [3], 4: [4, 9]}","{0: [1, 3], 1: [4, 7, 8], 2: [9], 3: [5], 4: [6], 5: [2]}"
247,"{0: [6, 8], 1: [5], 2: [9], 3: [1], 4: [7]}","{0: [8], 1: [9], 2: [7], 3: [4], 4: [3], 5: [2, 5, 6]}"
248,"{0: [2, 7], 1: [1], 2: [4], 3: [0, 3, 5, 6], 4: [9]}","{0: [6], 1: [0, 5], 2: [2], 3: [8], 4: [4, 9], 5: [1, 7]}"
249,"{0: [5, 7, 8], 1: [0, 9], 2: [3], 3: [4], 4: [2]}","{0: [7], 1: [3], 2: [0], 3: [5], 4: [2], 5: [8, 9]}"
250,"{0: [6], 1: [8], 2: [4, 7], 3: [9], 4: [5]}","{0: [4, 7], 1: [0], 2: [1], 3: [9], 4: [5, 6], 5: [8]}"
251,"{0: [0, 7, 9], 1: [4], 2: [1, 6], 3: [3, 5, 8], 4: [2]}","{0: [1], 1: [8], 2: [4], 3: [0, 2, 5, 9], 4: [6, 7], 5: [3]}"
252,"{0: [7], 1: [0, 9], 2: [6], 3: [1, 8], 4: [5]}","{0: [2, 8], 1: [3, 4], 2: [5], 3: [6], 4: [7], 5: [0, 9]}"
253,"{0: [1], 1: [9], 2: [3, 6], 3: [0, 2, 5, 7], 4: [8]}","{0: [9], 1: [8], 2: [5, 6, 7], 3: [1], 4: [3], 5: [2]}"
254,"{0: [2, 8], 1: [4], 2: [6], 3: [7], 4: [9]}","{0: [7], 1: [0, 8], 2: [1], 3: [5], 4: [3, 6], 5: [9]}"
255,"{0: [2, 7], 1: [4], 2: [8], 3: [5], 4: [6, 9]}","{0: [7], 1: [0, 3, 6], 2: [8], 3: [9], 4: [5], 5: [2]}"
256,"{0: [9], 1: [7], 2: [6], 3: [1, 2, 8], 4: [0, 4, 5]}","{0: [8], 1: [9], 2: [0], 3: [6], 4: [2], 5: [4, 5]}"
257,"{0: [8], 1: [6], 2: [4, 7], 3: [3, 9], 4: [5]}","{0: [1], 1: [3], 2: [0], 3: [4], 4: [2], 5: [9]}"
258,"{0: [4], 1: [3, 8], 2: [0, 2], 3: [5], 4: [6, 7, 9]}","{0: [5], 1: [6], 2: [0, 4], 3: [9], 4: [2], 5: [1, 7, 8]}"
259,"{0: [6, 7], 1: [5], 2: [3], 3: [1, 8], 4: [4, 9]}","{0: [7], 1: [0, 2], 2: [3], 3: [6, 8], 4: [4], 5: [9]}"
260,"{0: [3, 8], 1: [9], 2: [2, 6], 3: [5], 4: [7]}","{0: [7], 1: [0], 2: [6], 3: [8], 4: [4], 5: [2]}"
261,"{0: [6], 1: [1, 4, 5], 2: [7, 9], 3: [3, 8], 4: [0, 2]}","{0: [3, 6, 8], 1: [2, 7], 2: [5], 3: [9], 4: [4], 5: [1]}"
262,"{0: [9], 1: [7], 2: [0, 4, 8], 3: [2], 4: [5, 6]}","{0: [3, 4, 8], 1: [1, 9], 2: [2, 5], 3: [0], 4: [6], 5: [7]}"
263,"{0: [4, 8], 1: [0, 2, 6, 7], 2: [1, 3], 3: [9], 4: [5]}","{0: [6], 1: [0, 9], 2: [8], 3: [4], 4: [2, 7], 5: [1, 5]}"
264,"{0: [0, 4, 6], 1: [2], 2: [5], 3: [8], 4: [7]}","{0: [3], 1: [0, 7, 8], 2: [5], 3: [2, 9], 4: [6], 5: [1]}"
265,"{0: [3, 5], 1: [0, 7, 9], 2: [6], 3: [8], 4: [1, 4]}","{0: [1], 1: [5], 2: [2, 4, 9], 3: [8], 4: [3, 7], 5: [6]}"
266,"{0: [0, 4], 1: [2, 9], 2: [1, 8], 3: [5], 4: [6, 7]}","{0: [9], 1: [8], 2: [6], 3: [1, 3, 4, 7], 4: [2], 5: [5]}"
267,"{0: [6], 1: [4], 2: [5], 3: [8], 4: [3, 9]}","{0: [5], 1: [0, 7, 8], 2: [3], 3: [6], 4: [1], 5: [9]}"
268,"{0: [7, 8], 1: [5], 2: [3, 6], 3: [2], 4: [9]}","{0: [6, 8], 1: [5], 2: [0], 3: [7], 4: [9], 5: [2]}"
269,"{0: [0, 4], 1: [6], 2: [1, 8], 3: [5], 4: [2, 3, 7, 9]}","{0: [3, 7], 1: [0, 4], 2: [9], 3: [6], 4: [5], 5: [2, 8]}"
270,"{0: [6], 1: [0, 2, 7], 2: [5], 3: [9], 4: [4, 8]}","{0: [5], 1: [7], 2: [0], 3: [6], 4: [4, 8, 9], 5: [2]}"
271,"{0: [0, 2], 1: [9], 2: [8], 3: [4], 4: [5, 6, 7]}","{0: [7], 1: [9], 2: [4], 3: [2, 8], 4: [0, 6], 5: [5]}"
272,"{0: [7], 1: [3], 2: [8], 3: [5, 9], 4: [6]}","{0: [4], 1: [8], 2: [1], 3: [6, 7, 9], 4: [0, 2], 5: [5]}"
273,"{0: [0, 6], 1: [4], 2: [7], 3: [9], 4: [8]}","{0: [3, 5], 1: [0, 2], 2: [8], 3: [4], 4: [6], 5: [7, 9]}"
274,"{0: [7], 1: [3], 2: [6], 3: [9], 4: [4, 5, 8]}","{0: [8], 1: [1, 7], 2: [0, 2], 3: [6], 4: [5], 5: [9]}"
275,"{0: [6], 1: [9], 2: [7, 8], 3: [4], 4: [3]}","{0: [1], 1: [3], 2: [5], 3: [9], 4: [4, 7], 5: [8]}"
276,"{0: [6], 1: [2, 4, 9], 2: [0, 5], 3: [1], 4: [8]}","{0: [6], 1: [0, 4, 7], 2: [1], 3: [8], 4: [2, 3, 9], 5: [5]}"
277,"{0: [2, 8], 1: [0, 4], 2: [6], 3: [9], 4: [5]}","{0: [7], 1: [1, 3], 2: [9], 3: [6], 4: [4], 5: [2, 5, 8]}"
278,"{0: [5], 1: [7], 2: [6, 8], 3: [0, 2], 4: [3, 4, 9]}","{0: [0, 4], 1: [7], 2: [1, 6], 3: [8], 4: [2], 5: [9]}"
279,"{0: [5, 6, 8], 1: [4], 2: [0], 3: [1, 2, 3], 4: [9]}","{0: [3], 1: [8], 2: [0], 3: [5, 9], 4: [4], 5: [2]}"
280,"{0: [4, 8], 1: [9], 2: [5, 7], 3: [3], 4: [6]}","{0: [1, 2], 1: [6], 2: [0, 7], 3: [3, 8], 4: [4, 5], 5: [9]}"
281,"{0: [5], 1: [3, 7], 2: [0, 6, 9], 3: [2, 4], 4: [8]}","{0: [7], 1: [4], 2: [6], 3: [0, 1, 3, 9], 4: [8], 5: [2]}"
282,"{0: [7], 1: [5], 2: [8], 3: [6], 4: [4, 9]}","{0: [1], 1: [4], 2: [0], 3: [3], 4: [2], 5: [9]}"
283,"{0: [1, 3], 1: [9], 2: [2], 3: [0, 4, 6, 8], 4: [5, 7]}","{0: [9], 1: [0], 2: [1], 3: [8], 4: [3], 5: [2]}"
284,"{0: [4, 7], 1: [1, 8], 2: [0, 2, 9], 3: [6], 4: [3]}","{0: [3, 4], 1: [1], 2: [5], 3: [2, 8], 4: [6, 9], 5: [7]}"
285,"{0: [3], 1: [9], 2: [2, 5], 3: [6, 7], 4: [4, 8]}","{0: [0], 1: [5], 2: [4], 3: [3], 4: [2], 5: [8, 9]}"
286,"{0: [4], 1: [2, 6], 2: [0, 3], 3: [9], 4: [8]}","{0: [4], 1: [0, 9], 2: [5, 8], 3: [7], 4: [3], 5: [2, 6]}"
287,"{0: [6], 1: [7], 2: [5], 3: [9], 4: [8]}","{0: [1], 1: [6], 2: [3], 3: [4], 4: [7, 8], 5: [2, 5, 9]}"
288,"{0: [3, 4], 1: [0, 2], 2: [1], 3: [8, 9], 4: [5, 7]}","{0: [1], 1: [6], 2: [9], 3: [3, 7, 8], 4: [5], 5: [4]}"
289,"{0: [6], 1: [0, 8], 2: [4], 3: [5, 7], 4: [3, 9]}","{0: [4], 1: [0, 8], 2: [1, 7], 3: [3], 4: [2, 9], 5: [6]}"
290,"{0: [6, 7], 1: [1, 9], 2: [5, 8], 3: [0, 3], 4: [2, 4]}","{0: [7], 1: [9], 2: [0, 3], 3: [8], 4: [6], 5: [2]}"
291,"{0: [9], 1: [7, 8], 2: [3, 4], 3: [0, 2, 5, 6], 4: [1]}","{0: [1], 1: [9], 2: [2, 7], 3: [8], 4: [0, 6], 5: [3, 4, 5]}"
292,"{0: [6], 1: [4], 2: [1, 7], 3: [3, 5, 9], 4: [8]}","{0: [0], 1: [5], 2: [1, 7], 3: [4, 6, 9], 4: [2], 5: [3]}"
293,"{0: [0, 6], 1: [8, 9], 2: [2], 3: [7], 4: [1, 4]}","{0: [5], 1: [7], 2: [0, 2, 8], 3: [3], 4: [6], 5: [9]}"
294,"{0: [2, 7], 1: [6], 2: [8], 3: [1], 4: [9]}","{0: [8, 9], 1: [0], 2: [1, 7], 3: [3], 4: [6], 5: [2]}"
295,"{0: [2, 9], 1: [0], 2: [1, 3, 4, 5, 7], 3: [6], 4: [8]}","{0: [1, 7], 1: [0], 2: [6], 3: [4, 8], 4: [3], 5: [2, 9]}"
296,"{0: [6], 1: [1, 2], 2: [7], 3: [0, 5], 4: [8, 9]}","{0: [8], 1: [6], 2: [2], 3: [1, 3, 4], 4: [7], 5: [5, 9]}"
297,"{0: [2], 1: [1, 4], 2: [5, 9], 3: [8], 4: [6, 7]}","{0: [1, 4, 7, 8], 1: [0], 2: [6], 3: [3], 4: [2, 9], 5: [5]}"
298,"{0: [3], 1: [0], 2: [2], 3: [4, 5, 7, 8], 4: [9]}","{0: [4], 1: [3], 2: [6], 3: [0, 9], 4: [8], 5: [1, 5, 7]}"
299,"{0: [3, 7, 9], 1: [1, 6], 2: [2], 3: [0, 4], 4: [5, 8]}","{0: [1], 1: [8], 2: [0], 3: [2], 4: [4, 6, 9], 5: [3, 5]}"
300,"{0: [3], 1: [4, 6], 2: [7, 8], 3: [9], 4: [5]}","{0: [4], 1: [9], 2: [7], 3: [6], 4: [8], 5: [3, 5]}"
301,"{0: [8], 1: [4, 7], 2: [5], 3: [9], 4: [3, 6]}","{0: [2, 7], 1: [5], 2: [3, 6], 3: [1], 4: [8], 5: [9]}"
302,"{0: [5], 1: [9], 2: [8], 3: [6], 4: [7]}","{0: [3, 6, 8], 1: [4], 2: [2, 7], 3: [5, 9], 4: [0], 5: [1]}"
303,"{0: [9], 1: [2, 5], 2: [6], 3: [1, 3, 7], 4: [4, 8]}","{0: [2], 1: [3], 2: [4], 3: [0], 4: [1], 5: [5]}"
304,"{0: [3, 4, 5], 1: [0, 2], 2: [1, 9], 3: [8], 4: [7]}","{0: [1], 1: [7], 2: [0], 3: [8], 4: [4, 9], 5: [2]}"
305,"{0: [7], 1: [0, 1, 2, 8], 2: [6], 3: [5], 4: [9]}","{0: [7], 1: [2], 2: [9], 3: [4, 8], 4: [0, 3, 5, 6], 5: [1]}"
306,"{0: [9], 1: [2], 2: [0, 3, 6], 3: [8], 4: [7]}","{0: [6], 1: [8], 2: [0, 3, 4, 7], 3: [1, 2], 4: [9], 5: [5]}"
307,"{0: [7, 8], 1: [1, 6], 2: [3], 3: [9], 4: [2]}","{0: [0], 1: [7], 2: [6], 3: [1], 4: [9], 5: [8]}"
308,"{0: [0, 1, 2, 8], 1: [4], 2: [7], 3: [3, 5], 4: [6, 9]}","{0: [5], 1: [4, 6, 9], 2: [0, 2, 8], 3: [1], 4: [7], 5: [3]}"
309,"{0: [7], 1: [0, 8], 2: [6], 3: [5], 4: [9]}","{0: [0], 1: [2], 2: [4], 3: [8], 4: [9], 5: [1, 5, 6]}"
310,"{0: [9], 1: [2, 3], 2: [0, 8], 3: [7], 4: [1, 4, 5, 6]}","{0: [3], 1: [5], 2: [0, 8], 3: [6], 4: [1, 4, 9], 5: [7]}"
311,"{0: [9], 1: [1, 3, 6, 8], 2: [0, 2, 7], 3: [4], 4: [5]}","{0: [4], 1: [8], 2: [2], 3: [5], 4: [7], 5: [9]}"
312,"{0: [4, 5], 1: [9], 2: [0, 3, 7], 3: [8], 4: [2, 6]}","{0: [8], 1: [3, 5], 2: [0], 3: [1, 2, 6], 4: [7], 5: [9]}"
