graph_number,k5_minor,k33_minor
132,"{0: [1, 8], 1: [4, 5, 9], 2: [6], 3: [7], 4: [2]}","{0: [2], 1: [3], 2: [0, 7, 9], 3: [6], 4: [4], 5: [8]}"
133,"{0: [1, 2, 8], 1: [0, 7], 2: [3], 3: [4], 4: [9]}","{0: [2], 1: [5], 2: [7], 3: [9], 4: [6], 5: [8]}"
134,"{0: [0, 2, 4], 1: [8], 2: [7, 9], 3: [5], 4: [6]}","{0: [0, 3, 4], 1: [8], 2: [2, 9], 3: [5], 4: [6], 5: [7]}"
135,"{0: [7], 1: [3], 2: [8], 3: [2, 4, 6], 4: [9]}","{0: [2], 1: [0], 2: [9], 3: [5], 4: [7], 5: [4]}"
136,"{0: [1], 1: [3, 4], 2: [7], 3: [2, 8], 4: [5, 9]}","{0: [7, 9], 1: [0], 2: [3], 3: [6], 4: [4], 5: [2, 5, 8]}"
137,"{0: [0, 5], 1: [7], 2: [8], 3: [4], 4: [9]}","{0: [2, 8], 1: [0, 6], 2: [1, 9], 3: [5], 4: [4], 5: [3]}"
138,"{0: [7, 8], 1: [6], 2: [1], 3: [9], 4: [4, 5]}","{0: [0], 1: [6], 2: [7], 3: [8], 4: [3], 5: [9]}"
139,"{0: [9], 1: [6], 2: [0, 3], 3: [2, 8], 4: [1, 4, 5, 7]}","{0: [3], 1: [7, 9], 2: [1, 8], 3: [0], 4: [4, 6], 5: [5]}"
140,"{0: [6], 1: [5], 2: [0, 8], 3: [9], 4: [7]}","{0: [4], 1: [7], 2: [5], 3: [6], 4: [9], 5: [8]}"
141,"{0: [7], 1: [1, 2, 3, 5], 2: [6], 3: [8], 4: [4, 9]}","{0: [7], 1: [2, 4, 6], 2: [0], 3: [3], 4: [9], 5: [8]}"
142,"{0: [3, 7], 1: [1], 2: [0, 8], 3: [9], 4: [2]}","{0: [0], 1: [7], 2: [4], 3: [8], 4: [3], 5: [9]}"
143,"{0: [3, 6], 1: [5, 9], 2: [2, 8], 3: [4], 4: [1, 7]}","{0: [2], 1: [4], 2: [1, 6, 7], 3: [8], 4: [9], 5: [3]}"
144,"{0: [5], 1: [2, 9], 2: [6, 8], 3: [0, 3], 4: [7]}","{0: [9], 1: [7], 2: [1, 4, 5, 8], 3: [6], 4: [2], 5: [0, 3]}"
145,"{0: [5], 1: [2, 9], 2: [6, 7], 3: [0, 3, 8], 4: [1]}","{0: [4], 1: [0, 6, 8], 2: [1], 3: [3], 4: [7], 5: [5]}"
146,"{0: [0, 7, 9], 1: [3, 6], 2: [8], 3: [4], 4: [1, 2, 5]}","{0: [0], 1: [2, 6, 9], 2: [1, 4], 3: [7], 4: [3], 5: [8]}"
147,"{0: [3, 6], 1: [5], 2: [0, 7, 9], 3: [4, 8], 4: [1, 2]}","{0: [9], 1: [0], 2: [5], 3: [8], 4: [7], 5: [3, 6]}"
148,"{0: [4, 7], 1: [5], 2: [1, 9], 3: [8], 4: [6]}","{0: [9], 1: [7], 2: [0, 5, 6, 8], 3: [3], 4: [4], 5: [1]}"
149,"{0: [1], 1: [4], 2: [2, 6], 3: [3, 5], 4: [7, 8, 9]}","{0: [5], 1: [9], 2: [0], 3: [8], 4: [7], 5: [3]}"
150,"{0: [0], 1: [3, 6], 2: [2, 8], 3: [1, 7], 4: [4, 5, 9]}","{0: [2], 1: [1], 2: [0], 3: [9], 4: [7], 5: [8]}"
151,"{0: [3, 8], 1: [0, 9], 2: [1], 3: [4, 7], 4: [2, 5]}","{0: [2, 5, 6], 1: [9], 2: [0], 3: [3], 4: [7], 5: [8]}"
152,"{0: [3, 8, 9], 1: [4], 2: [6, 7], 3: [5], 4: [1, 2]}","{0: [9], 1: [6], 2: [0, 1, 4, 7], 3: [8], 4: [5], 5: [3]}"
153,"{0: [0, 3, 5], 1: [6], 2: [9], 3: [4, 7], 4: [8]}","{0: [3, 9], 1: [1], 2: [0, 6, 8], 3: [5], 4: [7], 5: [2]}"
154,"{0: [9], 1: [7], 2: [4], 3: [8], 4: [5]}","{0: [2], 1: [0], 2: [8], 3: [6], 4: [3], 5: [9]}"
155,"{0: [7], 1: [1, 4], 2: [0, 6], 3: [5, 9], 4: [8]}","{0: [7], 1: [9], 2: [1], 3: [6], 4: [4], 5: [8]}"
